trialno,Condition,Stimulus,Target,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,stimulus.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
2,C,>>>>>,> ,right,0,0,0,right,1,2.3350874,None,0,0,0,1,0.0917377,,0.0826079,0.0917377,0.0917377,0.5118457,0.5975215,2.4372799,right,1,2.3350874,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,1,1,0,left,1,1.733994,None,0,1,1,0,2.4538897,,2.4444381,2.4538897,2.4538897,2.94579,2.9627487,4.1963925,left,1,1.733994,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,2,2,0,left,0,1.5501463,None,0,2,2,3,4.2125385,,4.1993855,4.2125385,4.2125385,4.6958474,4.7124368,5.7800846,left,0,1.5501463,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,3,3,0,left,1,4.3729276,None,0,3,3,2,5.7957778,,5.7829664,5.7957778,5.7957778,6.2959536,6.2959536,10.1798368,left,1,4.3729276,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,4,0,1,right,1,2.788854,None,1,0,4,3,10.1958094,,10.1828879,10.1958094,10.1958094,10.6798706,10.6958711,12.997565,right,1,2.788854,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,5,1,1,right,1,1.829137,None,1,1,5,1,13.0131056,,13.0006138,13.0131056,13.0131056,13.5125341,13.5125341,14.8464027,right,1,1.829137,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,6,2,1,left,1,3.2137849,None,1,2,6,2,14.861552,,14.850088,14.861552,14.861552,15.345794,15.3626943,18.0796086,left,1,3.2137849,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,7,3,1,left,1,1.917922,None,1,3,7,0,18.0958179,,18.0823434,18.0958179,18.0958179,18.5792064,18.5958983,20.0297997,left,1,1.917922,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,8,0,2,right,1,2.5983484,None,2,0,8,3,20.0458064,,20.0335518,20.0458064,20.0458064,20.5291667,20.5459428,22.6468168,right,1,2.5983484,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,9,1,2,right,1,1.4676688,None,2,1,9,1,22.6624114,,22.6497729,22.6624114,22.6624114,23.1625496,23.1625496,24.1465902,right,1,1.4676688,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,10,2,2,left,1,1.6498709,None,2,2,10,0,24.1626799,,24.1494737,24.1626799,24.1626799,24.6457014,24.6623271,25.8133586,left,1,1.6498709,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,11,3,2,left,1,1.7511903,None,2,3,11,2,25.8292129,,25.8169415,25.8292129,25.8292129,26.3126266,26.3292352,27.5964544,left,1,1.7511903,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,12,0,3,left,1,1.6226743,None,3,0,12,0,27.6116792,,27.5991767,27.6116792,27.6116792,28.0961894,28.1123,29.2464627,left,1,1.6226743,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,13,1,3,right,1,1.5076294,None,3,1,13,3,29.2622018,,29.2502132,29.2622018,29.2622018,29.7458932,29.7626868,30.7797436,right,1,1.5076294,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,14,2,3,right,1,1.5274769,None,3,2,14,1,30.7958891,,30.7832981,30.7958891,30.7958891,31.2792393,31.2959628,32.3301356,right,1,1.5274769,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,15,3,3,left,1,1.5629799,None,3,3,15,2,32.3459177,,32.3330384,32.3459177,32.3459177,32.8460555,32.8460555,33.9137385,left,1,1.5629799,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,16,0,4,right,1,4.4371968,None,4,0,16,3,33.9292389,,33.9166008,33.9292389,33.9292389,34.4292296,34.4292296,38.380167,right,1,4.4371968,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,17,1,4,right,1,1.3195115,None,4,1,17,1,38.3962948,,38.3835048,38.3962948,38.3962948,38.8794968,38.8959367,39.7301918,right,1,1.3195115,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,18,2,4,left,1,3.2176374,None,4,2,18,2,39.7459489,,39.7331161,39.7459489,39.7459489,40.2460533,40.2460533,42.9802552,left,1,3.2176374,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,19,3,4,right,0,1.7080662,None,4,3,19,0,42.9958737,,42.9831854,42.9958737,42.9958737,43.4959541,43.4959541,44.7134767,right,0,1.7080662,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,20,0,5,left,1,2.3745731,None,5,0,20,0,44.7292591,,44.7137357,44.7292591,44.7292591,45.2292815,45.2292815,47.1130874,left,1,2.3745731,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,21,1,5,right,1,2.1835981,None,5,1,21,1,47.1294421,,47.116149,47.1294421,47.1294421,47.6123838,47.6294921,49.3140607,right,1,2.1835981,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,22,2,5,left,1,2.9104075,None,5,2,22,2,49.3296481,,49.3171926,49.3296481,49.3296481,49.8293776,49.8293776,52.2467723,left,1,2.9104075,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,23,3,5,right,1,3.0871605,None,5,3,23,3,52.2627347,,52.2497143,52.2627347,52.2627347,52.7460471,52.7627741,55.3635613,right,1,3.0871605,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,24,0,6,right,0,1.4731813,None,6,0,24,0,55.3796323,,55.3670572,55.3796323,55.3796323,55.8627721,55.8795372,56.863373,right,0,1.4731813,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,25,1,6,left,0,1.6232901,None,6,1,25,1,56.8793796,,56.8662936,56.8793796,56.8793796,57.3627367,57.3794634,58.513234,left,0,1.6232901,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,26,2,6,left,1,2.8447133,None,6,2,26,2,58.5289021,,58.5165204,58.5289021,58.5289021,59.0130149,59.0294373,61.3802146,left,1,2.8447133,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,27,3,6,right,1,4.4758228,None,6,3,27,3,61.3961559,,61.3839408,61.3961559,61.3961559,61.8962828,61.8962828,65.879734,right,1,4.4758228,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,28,0,7,right,1,1.3242848,None,7,0,28,1,65.8951789,,65.8824196,65.8951789,65.8951789,66.379441,66.3960748,67.231409,right,1,1.3242848,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,29,1,7,right,1,4.7508753,None,7,1,29,3,67.2460822,,67.2344282,67.2460822,67.2460822,67.7461606,67.7461606,72.0138161,right,1,4.7508753,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,30,2,7,left,1,1.7218066,None,7,2,30,2,72.1722959,,72.1639593,72.1722959,72.1722959,72.529489,72.6795651,73.8968695,left,1,1.7218066,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,31,3,7,right,0,1.547487,None,7,3,31,0,73.9128992,,73.8997693,73.9128992,73.9128992,74.3961337,74.4128579,75.4632249,right,0,1.547487,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,32,0,8,right,1,4.8243619,None,8,0,32,3,75.4796131,,75.4661509,75.4796131,75.4796131,75.9628959,75.9796939,80.3135044,right,1,4.8243619,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,33,1,8,left,1,1.6296528,None,8,1,33,0,80.3293867,,80.3164992,80.3293867,80.3293867,80.8126719,80.8295804,81.9637554,left,1,1.6296528,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,34,2,8,left,1,3.04018,None,8,2,34,2,81.9795822,,81.966738,81.9795822,81.9795822,82.4628737,82.4798007,85.0301632,left,1,3.04018,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,35,3,8,right,1,2.3920682,None,8,3,35,1,85.0461618,,85.0331027,85.0461618,85.0461618,85.5295651,85.5462473,87.4469974,right,1,2.3920682,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,36,0,9,right,1,1.5837062,None,9,0,36,1,87.463005,,87.4473358,87.463005,87.463005,87.9462067,87.9625987,89.0634989,right,1,1.5837062,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,37,1,9,left,1,1.7009136,None,9,1,37,0,89.0794932,,89.0665615,89.0794932,89.0794932,89.5633712,89.5794369,90.7969312,left,1,1.7009136,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,38,2,9,left,1,4.2065075,None,9,2,38,2,90.8130601,,90.7996503,90.8130601,90.8130601,91.2961576,91.3129107,95.0305134,left,1,4.2065075,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,39,3,9,right,1,4.8373237,None,9,3,39,3,95.0461878,,95.033477,95.0461878,95.0461878,95.5298772,95.5462168,99.8971345,right,1,4.8373237,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,40,0,10,left,1,4.4791533,None,10,0,40,2,99.9129174,,99.9001233,99.9129174,99.9129174,100.3963913,100.4130992,104.3970875,left,1,4.4791533,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,41,1,10,right,1,2.3979472,None,10,1,41,1,104.4129718,,104.3998276,104.4129718,104.4129718,104.8963729,104.9131504,106.8137608,right,1,2.3979472,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,42,2,10,right,1,3.0747143,None,10,2,42,3,106.8297811,,106.8167359,106.8297811,106.8297811,107.3130766,107.3295753,109.9139289,right,1,3.0747143,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,43,3,10,left,1,1.852068,None,10,3,43,0,109.9297502,,109.9169619,109.9297502,109.9297502,110.429768,110.429768,111.7971707,left,1,1.852068,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,44,0,11,left,1,2.1037928,None,11,0,44,0,111.8129263,,111.7975135,111.8129263,111.8129263,112.2964664,112.3129479,113.9306318,left,1,2.1037928,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,45,1,11,left,1,3.4341603,None,11,1,45,2,113.9464853,,113.9335135,113.9464853,113.9464853,114.4464082,114.4464082,117.3972603,left,1,3.4341603,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,46,2,11,right,1,2.373164,None,11,2,46,3,117.4129713,,117.4013802,117.4129713,117.4129713,117.8962414,117.9131182,119.7971341,right,1,2.373164,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,47,3,11,right,1,3.510481,None,11,3,47,1,119.8130368,,119.8004365,119.8130368,119.8130368,120.2963992,120.3133321,123.3302061,right,1,3.510481,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,48,0,12,right,1,1.2343945,None,12,0,48,1,123.3463599,,123.3304654,123.3463599,123.3463599,123.8301532,123.8465586,124.5972128,right,1,1.2343945,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,49,1,12,left,0,2.5150815,None,12,1,49,3,124.6124949,,124.6009821,124.6124949,124.6124949,125.0965522,125.1130857,127.1304444,left,0,2.5150815,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,50,2,12,left,1,1.6367979,None,12,2,50,0,127.1463843,,127.1333357,127.1463843,127.1463843,127.6297957,127.6465977,128.7986649,left,1,1.6367979,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,51,3,12,left,1,4.4558287,None,12,3,51,2,128.8159437,,128.8024544,128.8159437,128.8159437,129.3132508,129.3298727,133.2786375,left,1,4.4558287,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,52,0,13,left,1,2.1419311,None,13,0,52,2,133.2946782,,133.2790346,133.2946782,133.2946782,133.7784958,133.7951664,135.4450499,left,1,2.1419311,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,53,1,13,left,1,1.8729481,None,13,1,53,0,135.4609145,,135.4495666,135.4609145,135.4609145,135.9447491,135.9618075,137.3452496,left,1,1.8729481,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,54,2,13,right,1,1.3811757,None,13,2,54,1,137.3611447,,137.3477872,137.3611447,137.3611447,137.8444156,137.861845,138.7452818,right,1,1.3811757,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,55,3,13,left,0,3.1077101,None,13,3,55,3,138.761066,,138.7485748,138.761066,138.761066,139.2610854,139.2610854,141.8810871,left,0,3.1077101,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,56,0,14,right,1,1.7510945,None,14,0,56,3,141.8966372,,141.8813768,141.8966372,141.8966372,142.3801349,142.3965798,143.6640789,right,1,1.7510945,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,57,1,14,left,1,4.684383,None,14,1,57,2,143.6799971,,143.6672567,143.6799971,143.6799971,144.1634345,144.1802015,148.381621,left,1,4.684383,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,58,2,14,left,1,1.7633764,None,14,2,58,0,148.3976061,,148.3847144,148.3976061,148.3976061,148.8966906,148.8966906,150.1639725,left,1,1.7633764,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,59,3,14,right,1,1.9545861,None,14,3,59,1,150.1799347,,150.1669942,150.1799347,150.1799347,150.6800962,150.6800962,152.1473861,right,1,1.9545861,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,60,0,15,right,1,2.5526178,None,15,0,60,1,152.1634958,,152.1476657,152.1634958,152.1634958,152.6469282,152.6633577,154.7308061,right,1,2.5526178,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,61,1,15,right,1,4.0147704,None,15,1,61,3,154.7465027,,154.7338669,154.7465027,154.7465027,155.2302118,155.2466585,158.7641623,right,1,4.0147704,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,62,2,15,left,1,3.5799528,None,15,2,62,2,158.7800158,,158.7671938,158.7800158,158.7800158,159.2801565,159.2801565,162.3634131,left,1,3.5799528,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,63,3,15,left,1,2.0672008,None,15,3,63,0,162.3798999,,162.3663031,162.3798999,162.3798999,162.8632924,162.8801964,164.4640679,left,1,2.0672008,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,64,0,16,left,1,1.7338539,None,16,0,64,2,164.4799226,,164.46741,164.4799226,164.4799226,164.9633334,164.9801218,166.2304981,left,1,1.7338539,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,65,1,16,right,1,2.1728348,None,16,1,65,3,166.247208,,166.2333685,166.247208,166.247208,166.7300667,166.746576,168.4307007,right,1,2.1728348,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,66,2,16,left,1,1.6393001,None,16,2,66,0,168.4466641,,168.433531,168.4466641,168.4466641,168.946744,168.946744,170.0971657,left,1,1.6393001,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,67,3,16,right,1,1.6539948,None,16,3,67,1,170.1132995,,170.1006037,170.1132995,170.1132995,170.5966648,170.6134722,171.7806758,right,1,1.6539948,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,68,0,17,left,1,2.2810787,None,17,0,68,2,171.7966018,,171.7836198,171.7966018,171.7966018,172.2802278,172.2966729,174.0804985,left,1,2.2810787,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,69,1,17,right,1,2.1314251,None,17,1,69,1,174.0966,,174.0833942,174.0966,174.0966,174.5800425,174.5967611,176.2309689,right,1,2.1314251,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,70,2,17,right,1,1.6012836,None,17,2,70,3,176.2465048,,176.2347705,176.2465048,176.2465048,176.7465803,176.7465803,177.8640994,right,1,1.6012836,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,71,3,17,left,1,1.3706835,None,17,3,71,0,177.8801051,,177.8669969,177.8801051,177.8801051,178.3636288,178.380065,179.2639672,left,1,1.3706835,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,72,0,18,right,1,1.2361487,None,18,0,72,1,179.2800542,,179.2668254,179.2800542,179.2800542,179.7801821,179.7801821,180.5306977,right,1,1.2361487,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
3,I,>>><>,<,left,73,1,18,left,1,1.730647,None,18,1,73,2,180.5464051,,180.5334153,180.5464051,180.5464051,181.030533,181.0468115,182.2804181,left,1,1.730647,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,74,2,18,right,1,1.5964427,None,18,2,74,3,182.2965984,,182.283247,182.2965984,182.2965984,182.7798583,182.7965358,183.8972982,right,1,1.5964427,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
1,C,<<<<<,<,left,75,3,18,left,1,1.2487166,None,18,3,75,0,183.9127365,,183.9000325,183.9127365,183.9127365,184.3968399,184.4134256,185.1642698,left,1,1.2487166,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
2,C,>>>>>,> ,right,76,0,19,right,1,1.1829249,None,19,0,76,1,185.1799683,,185.1676558,185.1799683,185.1799683,185.663522,185.6800602,186.3798795,right,1,1.1829249,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
4,I,<<><<,> ,right,77,1,19,right,1,1.5500324,None,19,1,77,3,186.3959532,,186.3831384,186.3959532,186.3959532,186.8800926,186.8969535,187.94793,right,1,1.5500324,None,55863,1,2025-11-11_12h33.32.318,flankers_task_final,,2025.1.1,60.16886995,2025-11-11 12h33.48.566217 +0530
