study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,References,Old_New,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test_rotine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_rotine.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Cushion,0,0,0,1.0222222222222221,4.8548807999999894,,,,,,,,,,,,0,0,0,1,,,,,0.060988899999983914,,0.033847999999977674,0.060988899999983914,0.060988899999983914,4.906924600000025,1.0222222222222221,4.8548807999999894,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
Cruise,1,1,0,1.5888888888888888,0.9555176000000074,,,,,,,,,,,,0,1,1,11,,,,,4.9304789000000255,,4.915896500000031,4.9304789000000255,4.9304789000000255,5.887129700000003,1.5888888888888888,0.9555176000000074,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
Phone,2,2,0,1.5888888888888888,0.6215672999999811,,,,,,,,,,,,0,2,2,2,,,,,5.915903000000014,,5.900523700000008,5.915903000000014,5.915903000000014,6.537611599999991,1.5888888888888888,0.6215672999999811,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
Case,3,3,0,1.5888888888888888,0.5605056999999647,,,,,,,,,,,,0,3,3,10,,,,,6.5586529999999925,,6.54405109999999,6.5586529999999925,6.5586529999999925,7.120501199999978,1.5888888888888888,0.5605056999999647,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
Board,4,4,0,1.5888888888888888,0.5437809000000016,,,,,,,,,,,,0,4,4,4,,,,,7.141359500000021,,7.127799299999992,7.141359500000021,7.141359500000021,7.686865099999977,1.5888888888888888,0.5437809000000016,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
Police,5,5,0,1.0888888888888888,0.8974212999999622,,,,,,,,,,,,0,5,5,12,,,,,7.704455600000017,,7.6907256000000075,7.704455600000017,7.704455600000017,8.6035526,1.0888888888888888,0.8974212999999622,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
Keys,6,6,0,2.1555555555555554,0.6611737999999718,,,,,,,,,,,,0,6,6,13,,,,,8.623611499999981,,8.61054230000002,8.623611499999981,8.623611499999981,9.286995999999988,2.1555555555555554,0.6611737999999718,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
Poster,7,7,0,1.4962962962962962,0.6805980999999974,,,,,,,,,,,,0,7,7,14,,,,,9.303977299999985,,9.2910301,9.303977299999985,9.303977299999985,9.987058999999988,1.4962962962962962,0.6805980999999974,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
Pastry,8,8,0,2.659259259259259,1.1303411999999753,,,,,,,,,,,,0,8,8,9,,,,,10.004367100000024,,9.991147699999999,10.004367100000024,10.004367100000024,11.13763929999999,2.659259259259259,1.1303411999999753,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
Mouse,9,9,0,1.5,0.9004988000000367,,,,,,,,,,,,0,9,9,8,,,,,11.159131000000002,,11.144039399999997,11.159131000000002,11.159131000000002,12.061948500000028,1.5,0.9004988000000367,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
T-shirt ,10,10,0,2.4518518518518517,0.6495184000000336,,,,,,,,,,,,0,10,10,7,,,,,12.0876667,,12.072193200000015,12.0876667,12.0876667,12.73705590000003,2.4518518518518517,0.6495184000000336,,,,,,,,,,,,,,,4444,001,2025-10-14_14h18.45.196,word priming,,2025.1.1,59.94352121430864,2025-10-14 14h18.54.748010 +0530,
