study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,References,Old_New,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test_rotine.started,text_2.started,textbox.started,text_3.started,mouse.started,test_rotine.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Cushion,0,0,0,1.9777777777777779,1.9089792999999986,,,,,,,,,,,,0,0,0,1,,,,,0.05889300000001185,,0.032817099999988386,0.05889300000001185,0.05889300000001185,1.957389599999999,1.9777777777777779,1.9089792999999986,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
T-shirt ,1,1,0,1.0185185185185186,1.1354867000000013,,,,,,,,,,,,0,1,1,7,,,,,1.9859792999999968,,1.9727085000000102,1.9859792999999968,1.9859792999999968,3.123870899999986,1.0185185185185186,1.1354867000000013,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
Mouse,2,2,0,1.9592592592592593,0.859551300000021,,,,,,,,,,,,0,2,2,8,,,,,3.1482072000000016,,3.1320580999999947,3.1482072000000016,3.1482072000000016,4.007367400000021,1.9592592592592593,0.859551300000021,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
Poster,3,3,0,1.5888888888888888,0.7036383999999885,,,,,,,,,,,,0,3,3,14,,,,,4.034457499999974,,4.021141499999999,4.034457499999974,4.034457499999974,4.740530699999965,1.5888888888888888,0.7036383999999885,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
Police,4,4,0,1.9703703703703703,0.8373776999999905,,,,,,,,,,,,0,4,4,12,,,,,4.758117999999968,,4.7446378999999865,4.758117999999968,4.758117999999968,5.6003165000000195,1.9703703703703703,0.8373776999999905,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
Pastry,5,5,0,1.237037037037037,0.6995715999999561,,,,,,,,,,,,0,5,5,9,,,,,5.623910799999976,,5.609008500000016,5.623910799999976,5.623910799999976,6.324191100000007,1.237037037037037,0.6995715999999561,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
Laptop,6,6,0,2.8777777777777778,1.6930882999999994,,,,,,,,,,,,0,6,6,5,,,,,6.345954800000015,,6.331784499999969,6.345954800000015,6.345954800000015,8.0405844,2.8777777777777778,1.6930882999999994,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
Keys,7,7,0,2.888888888888889,1.5274994999999763,,,,,,,,,,,,0,7,7,13,,,,,8.062916799999982,,8.048250899999971,8.062916799999982,8.062916799999982,9.590816399999994,2.888888888888889,1.5274994999999763,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
Book,8,8,0,2.9555555555555557,1.2444333000000256,,,,,,,,,,,,0,8,8,0,,,,,9.612730100000022,,9.597714100000019,9.612730100000022,9.612730100000022,10.85752279999997,2.9555555555555557,1.2444333000000256,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
Board,9,9,0,2.985185185185185,0.9943570000000364,,,,,,,,,,,,0,9,9,4,,,,,10.877809599999978,,10.864252299999976,10.877809599999978,10.877809599999978,11.873797999999965,2.985185185185185,0.9943570000000364,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
Case,10,10,0,2.022222222222222,1.5477412999999842,,,,,,,,,,,,0,10,10,10,,,,,11.891352600000005,,11.877182300000015,11.891352600000005,11.891352600000005,13.440696399999979,2.022222222222222,1.5477412999999842,,,,,,,,,,,,,,,final_11,001,2025-10-14_20h37.57.667,word priming,,2025.1.1,59.37350267447097,2025-10-14 20h38.08.013134 +0530,
