trialno,Condition,Stimulus,Target,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,stimulus.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,C,<<<<<,<,left,0,0,0,left,1,1.2054373999999939,None,0,0,0,0,0.11701149999998961,,0.10723619999998846,0.11701149999998961,0.11701149999998961,0.5112126999999873,0.625457200000028,1.4190525999999863,left,1,1.2054373999999939,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,1,1,0,right,1,0.9402201000000332,None,0,1,1,1,1.4376937000000112,,1.4281708000000322,1.4376937000000112,1.4376937000000112,1.9255481000000145,1.9421427000000335,2.392894800000022,right,1,0.9402201000000332,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,2,2,0,left,1,1.933471900000029,None,0,2,2,2,2.4083180000000084,,2.3970170000000053,2.4083180000000084,2.4083180000000084,2.891871999999978,2.9093434000000116,4.343153799999982,left,1,1.933471900000029,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,3,3,0,right,1,2.4943049000000315,None,0,3,3,3,4.358776299999988,,4.346104500000024,4.358776299999988,4.358776299999988,4.858471300000019,4.858471300000019,6.859411300000033,right,1,2.4943049000000315,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,4,0,1,left,0,1.1956763000000024,None,1,0,4,3,6.874505900000031,,6.859670499999993,6.874505900000031,6.874505900000031,7.358850700000005,7.375423899999987,8.076472800000033,left,0,1.1956763000000024,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,5,1,1,left,0,2.2557760999999914,None,1,1,5,1,8.091958000000034,,8.079521600000021,8.091958000000034,8.091958000000034,8.591814699999986,8.591814699999986,10.359555900000032,left,0,2.2557760999999914,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,6,2,1,right,0,2.5847612000000026,None,1,2,6,2,10.375385900000026,,10.362668499999984,10.375385900000026,10.375385900000026,10.858923699999991,10.875395500000025,12.97674219999999,right,0,2.5847612000000026,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,7,3,1,right,0,1.8144575000000032,None,1,3,7,0,12.992193499999985,,12.979914899999983,12.992193499999985,12.992193499999985,13.492033400000025,13.492033400000025,14.809499599999981,right,0,1.8144575000000032,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,8,0,2,left,1,1.235968000000014,None,2,0,8,0,14.825590000000034,,14.809825999999987,14.825590000000034,14.825590000000034,15.325415899999996,15.325415899999996,16.075908099999992,left,1,1.235968000000014,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,9,1,2,left,0,1.3582427999999709,None,2,1,9,1,16.0922458,,16.079166999999984,16.0922458,16.0922458,16.575532899999985,16.592049700000018,17.459501499999988,left,0,1.3582427999999709,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,10,2,2,right,1,4.663640199999975,None,2,2,10,3,17.475347999999997,,17.4624144,17.475347999999997,17.475347999999997,17.95884719999998,17.9756218,22.142420000000016,right,1,4.663640199999975,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,11,3,2,right,0,3.720473800000036,None,2,3,11,2,22.159030200000018,,22.145470400000022,22.159030200000018,22.159030200000018,22.642131500000005,22.659040199999993,25.892840200000023,right,0,3.720473800000036,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,12,0,3,right,1,1.7725631000000135,None,3,0,12,3,25.909408999999982,,25.896288000000027,25.909408999999982,25.909408999999982,26.392577800000026,26.40885609999998,27.69220949999999,right,1,1.7725631000000135,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,13,1,3,left,1,1.479760199999987,None,3,1,13,0,27.708014100000014,,27.69651170000003,27.708014100000014,27.708014100000014,28.191762400000016,28.2097167,29.193431000000032,left,1,1.479760199999987,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,14,2,3,right,1,2.1202202999999713,None,3,2,14,1,29.208968700000014,,29.196282699999983,29.208968700000014,29.208968700000014,29.7089426,29.7089426,31.34280160000003,right,1,2.1202202999999713,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,15,3,3,left,1,2.4865669999999795,None,3,3,15,2,31.359069599999998,,31.34616840000001,31.359069599999998,31.359069599999998,31.842178199999978,31.858978700000023,33.85959860000003,left,1,2.4865669999999795,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,16,0,4,right,1,1.5313094999999635,None,4,0,16,3,33.87561470000003,,33.86279460000003,33.87561470000003,33.87561470000003,34.35896150000002,34.37559590000001,35.409702700000025,right,1,1.5313094999999635,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,17,1,4,left,1,1.855620999999985,None,4,1,17,0,35.4255192,,35.41286020000001,35.4255192,35.4255192,35.908909900000026,35.92559940000001,37.292761299999995,left,1,1.855620999999985,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,18,2,4,left,0,1.3636804999999868,None,4,2,18,1,37.30872049999999,,37.29624060000003,37.30872049999999,37.30872049999999,37.79232730000001,37.80894949999998,38.675972,left,0,1.3636804999999868,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,19,3,4,right,0,5.347028099999989,None,4,3,19,2,38.69219479999998,,38.67882910000003,38.69219479999998,38.69219479999998,39.17614630000003,39.19264020000003,44.04241400000001,right,0,5.347028099999989,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,20,0,5,right,1,1.1388744000000202,None,5,0,20,1,44.058846200000005,,44.045192499999985,44.058846200000005,44.058846200000005,44.5420532,44.559075199999995,45.20968479999999,right,1,1.1388744000000202,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
