trialno,Condition,Stimulus,Target,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,stimulus.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
3,I,>>><>,<,left,0,0,0,left,1,2.9295588,None,0,0,0,2,0.1141892,,0.1022342,0.1141892,0.1141892,0.5072944,0.6252603,3.0681351,left,1,2.9295588,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
4,I,<<><<,> ,right,1,1,0,right,1,1.1969839,None,0,1,1,3,3.0814101,,3.072004,3.0814101,3.0814101,3.5736331,3.5904407,4.2902571,right,1,1.1969839,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
1,C,<<<<<,<,left,2,2,0,left,1,1.6474889,None,0,2,2,0,4.305903,,4.2936502,4.305903,4.305903,4.7905382,4.8075564,5.9572091,left,1,1.6474889,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
2,C,>>>>>,> ,right,3,3,0,right,1,1.0770491,None,0,3,3,1,5.9729045,,5.9599138,5.9729045,5.9729045,6.4729134,6.4729134,7.0567851,right,1,1.0770491,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
3,I,>>><>,<,left,4,0,1,left,1,2.0551022,None,1,0,4,2,7.0725087,,7.0604363,7.0725087,7.0725087,7.556286,7.5739761,9.1424274,left,1,2.0551022,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
4,I,<<><<,> ,right,5,1,1,right,1,1.1828386,None,1,1,5,3,9.1588163,,9.1457301,9.1588163,9.1588163,9.6414264,9.6581691,10.3423858,right,1,1.1828386,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
2,C,>>>>>,> ,right,6,2,1,right,1,1.1967747,None,1,2,6,1,10.3577603,,10.3453626,10.3577603,10.3577603,10.8584148,10.8584148,11.558613,right,1,1.1967747,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
1,C,<<<<<,<,left,7,3,1,left,1,1.0604078,None,1,3,7,0,11.5749886,,11.5619775,11.5749886,11.5749886,12.0582073,12.074934,12.6420264,left,1,1.0604078,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
2,C,>>>>>,> ,right,8,0,2,right,1,1.0070015,None,2,0,8,1,12.658239,,12.6449502,12.658239,12.658239,13.1415299,13.1573466,13.6753617,right,1,1.0070015,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
3,I,>>><>,<,left,9,1,2,right,0,1.9450354,None,2,1,9,2,13.6910892,,13.6790007,13.6910892,13.6910892,14.1749842,14.191833,15.6425302,right,0,1.9450354,None,par_3_,1,2025-11-10_20h46.10.343,flankers_task_final,,2025.1.1,59.42462699,2025-11-10 20h47.52.610927 +0530
