thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(-0.2916666666666667)],[np.float64(0.47685185185185186)],[1],[0],[0],[5.315809300000183],['target'],0,0,0,0,0.08887009999989459,,10,0.062301899999965826,0.08887009999989459,0.08887009999989459,0.06234390000008716,5.378206099999716,[np.float64(-0.2916666666666667)],[np.float64(0.47685185185185186)],[1],[0],[0],[5.315809300000183],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
1,0,1,[np.float64(0.14907407407407408)],[np.float64(-0.0787037037037037)],[1],[0],[0],[1.9430723000000398],['target'],1,0,1,0,5.417529800000011,,5,5.401074899999912,5.417529800000011,5.417529800000011,0.022655400000076042,7.344191099999989,[np.float64(0.14907407407407408)],[np.float64(-0.0787037037037037)],[1],[0],[0],[1.9430723000000398],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
2,0,2,[np.float64(0.31574074074074077)],[np.float64(0.32314814814814813)],[1],[0],[0],[1.1476965000001655],['target'],2,0,2,0,7.399542099999962,,10,7.380182599999898,7.399542099999962,7.399542099999962,0.03582030000006853,8.527988699999696,[np.float64(0.31574074074074077)],[np.float64(0.32314814814814813)],[1],[0],[0],[1.1476965000001655],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
3,0,3,[np.float64(-0.027777777777777776)],[np.float64(0.05925925925925926)],[1],[0],[0],[1.700320500000089],['target'],3,0,3,0,8.580252799999926,,10,8.560783299999912,8.580252799999926,8.580252799999926,0.03257190000022092,10.261205099999643,[np.float64(-0.027777777777777776)],[np.float64(0.05925925925925926)],[1],[0],[0],[1.700320500000089],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
4,0,4,[np.float64(-0.05555555555555555)],[np.float64(-0.47129629629629627)],[1],[0],[0],[1.7773189999998067],[None],4,0,4,0,10.31953459999977,,10,10.300153499999851,10.31953459999977,10.31953459999977,0.03874339999993026,12.07758100000001,[np.float64(-0.05555555555555555)],[np.float64(-0.47129629629629627)],[1],[0],[0],[1.7773189999998067],[None],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
5,0,5,[np.float64(-0.04259259259259259)],[np.float64(-0.32037037037037036)],[1],[0],[0],[0.7851935999997295],['target'],5,0,5,0,12.244303399999808,,10,12.225724099999752,12.244303399999808,12.244303399999808,0.1478937999995651,13.011014100000011,[np.float64(-0.04259259259259259)],[np.float64(-0.32037037037037036)],[1],[0],[0],[0.7851935999997295],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
6,0,6,[np.float64(0.21388888888888888)],[np.float64(-0.36666666666666664)],[1],[0],[0],[1.4150355000001582],['target'],6,0,6,0,13.06482219999998,,10,13.04632300000003,13.06482219999998,13.06482219999998,0.03507639999997991,14.461465599999883,[np.float64(0.21388888888888888)],[np.float64(-0.36666666666666664)],[1],[0],[0],[1.4150355000001582],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
7,0,7,[np.float64(0.17314814814814813)],[np.float64(-0.21944444444444444)],[1],[0],[0],[1.1799174000002495],['target'],7,0,7,0,14.498176599999624,,5,14.480361499999617,14.498176599999624,14.498176599999624,0.018669799999770476,15.660379699999794,[np.float64(0.17314814814814813)],[np.float64(-0.21944444444444444)],[1],[0],[0],[1.1799174000002495],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
8,0,8,[np.float64(-0.03888888888888889)],[np.float64(0.05648148148148148)],[1],[0],[0],[1.4152401000001191],['target'],8,0,8,0,15.693397600000026,,5,15.678684900000007,15.693397600000026,15.693397600000026,0.018110599999999977,17.09403229999998,[np.float64(-0.03888888888888889)],[np.float64(0.05648148148148148)],[1],[0],[0],[1.4152401000001191],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
9,0,9,[np.float64(0.4166666666666667)],[np.float64(0.32314814814814813)],[1],[0],[0],[1.6979341000001114],['target'],9,0,9,0,17.149646200000007,,10,17.129899300000034,17.149646200000007,17.149646200000007,0.035684800000126415,18.827945,[np.float64(0.4166666666666667)],[np.float64(0.32314814814814813)],[1],[0],[0],[1.6979341000001114],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
10,0,10,[np.float64(-0.2564814814814815)],[np.float64(0.3888888888888889)],[1],[0],[0],[1.6655719000000317],['target'],10,0,10,0,18.859461199999714,,5,18.84524919999967,18.859461199999714,18.859461199999714,0.017075900000236288,20.510908899999777,[np.float64(-0.2564814814814815)],[np.float64(0.3888888888888889)],[1],[0],[0],[1.6655719000000317],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
11,0,11,[np.float64(0.4203703703703704)],[np.float64(-0.22870370370370371)],[1],[0],[0],[1.814714399999957],['target'],11,0,11,0,20.566618699999708,,10,20.547479399999702,20.566618699999708,20.566618699999708,0.03640180000002147,22.36228630000005,[np.float64(0.4203703703703704)],[np.float64(-0.22870370370370371)],[1],[0],[0],[1.814714399999957],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
12,0,12,[np.float64(0.10185185185185185)],[np.float64(0.04537037037037037)],[1],[0],[0],[1.1921095999996396],['target'],12,0,12,0,22.42609369999991,,10,22.403582899999947,22.42609369999991,22.42609369999991,0.041108400000211986,23.59578909999982,[np.float64(0.10185185185185185)],[np.float64(0.04537037037037037)],[1],[0],[0],[1.1921095999996396],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
